
**===== Multi-Run PSO with Local Optimizer Is Used ========**

 Run	 RMSE1		 RMSE2
1	2.243060	1.765186
2	1.710107	1.631742
3	1.049819	0.941676
4	0.812050	0.800209
5	0.796868	0.790877

**================== PSO Parameters Used ==================**
seed1:21572
seed2:11243
dimension : 25
num_particles: 50
max_num_iterations per run allowed: 500
maxRun for multi-run PSO: 5
total wall-clock time: 60.000000
best rmse : 0.790877

**================= Optimal Model Parameters =================**
4989.460313
2.352292
-3434.969212
2324.185092
0.433607
0.003115
4.000000
7.000000
4999.992501
4.055500
8551.918134
6910.159911
1.054229
0.000000
4.000000
9.000000
4944.649466
2.402838
7427.083195
10399.254493
0.998064
0.003481
5.000000
10.000000
-0.237811

**================= DFT Energy and Fitted Energy =================**
3.288620	1.950000	2.913679	2.710166	3.105246	4.089394
3.336594	2.000000	2.963679	2.759901	0.385994	0.714608
3.432715	2.100000	3.063679	2.859398	-3.731421	-4.133505
3.529052	2.200000	3.163679	2.958930	-6.489670	-7.164919
3.625588	2.300000	3.263679	3.058492	-8.262641	-8.972046
3.722306	2.400000	3.363679	3.158081	-9.335351	-9.946974
3.819193	2.500000	3.463679	3.257696	-9.915668	-10.355165
3.916237	2.600000	3.563679	3.357334	-10.145486	-10.379609
4.013426	2.700000	3.663679	3.456993	-10.136182	-10.148128
4.110750	2.800000	3.763679	3.556670	-9.958420	-9.750784
4.305765	3.000000	3.963679	3.756077	-9.314820	-8.694741
4.501218	3.200000	4.163679	3.955544	-8.502609	-7.527551
4.893227	3.600000	4.563679	4.354625	-6.867020	-5.385967
5.286433	4.000000	4.963679	4.753860	-5.487407	-3.748752
5.779252	4.500000	5.463679	5.253067	-4.196017	-2.363228
6.273207	5.000000	5.963679	5.752413	-3.279862	-1.500479
7.263600	6.000000	6.963679	6.751394	-2.185576	-0.633484
8.256309	7.000000	7.963679	7.750638	-1.569680	-0.285081
9.250589	8.000000	8.963679	8.750054	-1.211542	-0.134507
11.242194	10.000000	10.963679	10.749213	-0.741897	-0.031186
13.236330	12.000000	12.963679	12.748636	-0.522489	-0.005389
15.232004	14.000000	14.963679	14.748215	-0.380944	0.001437
18.227293	17.000000	17.963679	17.747762	-0.259558	0.003081
21.223913	20.000000	20.963679	20.747440	-0.186155	0.002602
24.721006	23.500000	24.463679	24.247164	-0.133342	0.001846
28.218820	27.000000	27.963679	27.746959	-0.099637	0.001279
3.019810	1.840310	2.073065	2.245666	96.357810	96.922515
3.118647	1.937207	2.170615	2.345339	73.409772	72.311858
3.217555	2.034404	2.268378	2.445039	55.570822	54.514559
3.316529	2.131861	2.366328	2.544762	41.848531	41.438795
3.415563	2.229542	2.464443	2.644506	31.365839	31.711296
3.514652	2.327421	2.562703	2.744269	23.445650	24.403976
3.613791	2.425473	2.661094	2.844048	17.495188	18.873334
3.712976	2.523678	2.759599	2.943843	13.061427	14.663244
3.812204	2.622018	2.858209	3.043651	9.757683	11.444321
3.911471	2.720480	2.956912	3.143471	7.340881	8.975021
4.010774	2.819049	3.055699	3.243302	5.572442	7.075987
4.110111	2.917717	3.154563	3.343143	4.272635	5.612693
4.209480	3.016471	3.253496	3.442994	3.334885	4.483434
4.408303	3.214212	3.451547	3.642719	2.208100	2.935778
4.607227	3.412216	3.649811	3.842474	1.673873	2.007250
4.706724	3.511303	3.749012	3.942360	1.537217	1.692005
4.806241	3.610440	3.848254	4.042252	1.455961	1.446402
4.905778	3.709624	3.947535	4.142149	1.408632	1.254428
5.005334	3.808850	4.046850	4.242051	1.387771	1.103720
5.104907	3.908116	4.146199	4.341958	1.386291	0.984736
5.602999	4.404943	4.643363	4.841549	1.415507	0.659736
6.101404	4.902415	5.141077	5.341216	1.416777	0.520015
6.600050	5.400354	5.639195	5.840940	1.364987	0.431262
7.098886	5.898641	6.137619	6.340708	1.283516	0.360848
8.096990	6.895960	7.135129	7.340339	1.047422	0.251685
9.095510	7.893958	8.133251	8.340058	0.889000	0.175790
10.094323	8.892405	9.131783	9.339837	0.715985	0.124386
11.093350	9.891166	10.130606	10.339659	0.628185	0.089620
12.092538	10.890155	11.129639	11.339512	0.530884	0.065819
13.091850	11.889313	12.128832	12.339389	0.418136	0.049242
14.091259	12.888602	13.128148	13.339285	0.393435	0.037480
15.090747	13.887994	14.127561	14.339195	0.345930	0.028980
